species,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,coordinateUncertaintyInMeters
Cinclodes palliatus,-10.550307,-76.87203,2024-06-02,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.558803,-76.85774,2024-06-02,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-07-02,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.600121,-76.20055,2024-07-14,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580515,-76.26302,2024-07-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2024-07-29,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580515,-76.26302,2024-07-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.597423,-76.19221,2024-07-06,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-12.187926,-75.800095,2024-07-26,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.600121,-76.20055,2024-07-14,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2024-07-24,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2024-07-29,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580515,-76.26302,2024-07-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-12.169845,-75.63094,2024-07-08,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2024-07-24,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2024-07-29,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.600121,-76.20055,2024-07-14,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2024-07-24,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-07-23,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2024-07-29,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2024-07-24,2024,HUMAN_OBSERVATION,
