modelo,estrategia,pearson_r,pearson_p,spearman_rho,spearman_p
RandomForest,aleatoria,0.06401843996644799,0.9592167054631654,0.0,1.0
RandomForest,buffer,0.8010180752749243,0.40858409275917723,0.5,0.6666666666666667
SVM,aleatoria,0.4006377225332892,0.7375772039288176,0.5,0.6666666666666667
SVM,buffer,0.7830167130316785,0.4273597918644158,0.5,0.6666666666666667
LightGBM,aleatoria,0.1967339029665229,0.8739329865679032,0.5,0.6666666666666667
LightGBM,buffer,0.8215384314810985,0.38623228352544453,0.5,0.6666666666666667
MaxEnt,aleatoria,0.394544980377278,0.7418044591394299,0.5,0.6666666666666667
MaxEnt,buffer,0.8236140737481097,0.38390855357434267,0.5,0.6666666666666667
