auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,tss_mean,tss_std,especie,modelo
0.9141758241758241,0.072247545043155,0.850443722943723,0.10101609160755701,0.5876923076923077,0.2501880949210747,Xenoglaux_loweryi,RandomForest
0.9274725274725274,0.06511858336735035,0.8371388888888888,0.11558551961936674,0.7895604395604396,0.1797098118396451,Xenoglaux_loweryi,SVM
0.9123626373626375,0.06076585249835199,0.8242893772893772,0.14287538363868957,0.7330769230769231,0.16414742976429714,Xenoglaux_loweryi,LightGBM
0.9274725274725274,0.05790385078104495,0.8078333333333333,0.1262422714906188,0.7280219780219781,0.19216635308392982,Xenoglaux_loweryi,MaxEnt
0.8861111111111111,0.039890109682477845,0.7259992784992785,0.09854366071893059,0.611111111111111,0.03513641844631541,Cinclodes_palliatus,RandomForest
0.9148148148148149,0.04913518207933925,0.8002849927849928,0.13117340515759934,0.6666666666666666,0.060858061945018395,Cinclodes_palliatus,SVM
0.8592592592592594,0.042390826452813335,0.7399348799348799,0.03889453857983581,0.5111111111111111,0.15475986974649028,Cinclodes_palliatus,LightGBM
0.8694444444444445,0.04724944748952993,0.7476140526140526,0.0481082707216229,0.6222222222222223,0.08164965809277266,Cinclodes_palliatus,MaxEnt
0.95625,0.02406001971343979,0.8838240925740927,0.06204580357744461,0.8083333333333332,0.1384437310486346,Telmatobius_macrostomus,RandomForest
0.9135416666666668,0.05378471101427326,0.737077158952159,0.13680823594553645,0.7083333333333333,0.1086533734200442,Telmatobius_macrostomus,SVM
0.9447916666666666,0.02806706996939056,0.8704076479076479,0.10778695957220764,0.825,0.10341394704992378,Telmatobius_macrostomus,LightGBM
0.9416666666666668,0.0060739082237972085,0.8325779775779776,0.03647905452757274,0.65,0.07264831572567795,Telmatobius_macrostomus,MaxEnt
