auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,tss_mean,tss_std,especie,modelo,estrategia_pseudo
1.0,0.0,1.0,0.0,0.86,0.11575836902790225,Xenoglaux_loweryi,RandomForest,aleatoria
0.9650000000000001,0.048989794855663564,0.9708333333333334,0.04362084109434135,0.85,0.1224744871391589,Xenoglaux_loweryi,SVM,aleatoria
0.975,0.049999999999999996,0.9775,0.04500000000000002,0.77,0.2749545416973504,Xenoglaux_loweryi,LightGBM,aleatoria
0.945,0.05099019513592784,0.9308333333333334,0.07726217990999505,0.76,0.15937377450509227,Xenoglaux_loweryi,MaxEnt,aleatoria
0.79625,0.18146969443959507,0.8778174603174602,0.10745372303979102,0.6900000000000001,0.25768197453450253,Xenoglaux_loweryi,RandomForest,buffer
0.8,0.18165902124584948,0.8698333333333335,0.10094299147709401,0.49000000000000005,0.34985711369071804,Xenoglaux_loweryi,SVM,buffer
0.75625,0.20743975028908998,0.8331746031746032,0.1567789999486313,0.49000000000000005,0.35552777669262353,Xenoglaux_loweryi,LightGBM,buffer
0.7875,0.1809696107085386,0.8089047619047619,0.16235285331521535,0.44000000000000006,0.3023243291566195,Xenoglaux_loweryi,MaxEnt,buffer
1.0,0.0,1.0,0.0,1.0,0.0,Xenoglaux_loweryi,RandomForest,ambiental
1.0,0.0,1.0,0.0,1.0,0.0,Xenoglaux_loweryi,SVM,ambiental
1.0,0.0,1.0,0.0,1.0,0.0,Xenoglaux_loweryi,LightGBM,ambiental
1.0,0.0,1.0,0.0,0.35,0.20976176963403032,Xenoglaux_loweryi,MaxEnt,ambiental
0.8555555555555555,0.13540064007726602,0.8637698412698412,0.1387850859263552,0.5666666666666667,0.19999999999999998,Cinclodes_palliatus,RandomForest,aleatoria
0.9166666666666667,0.10243938285880982,0.9184920634920634,0.10456017132765001,0.7333333333333334,0.16996731711975951,Cinclodes_palliatus,SVM,aleatoria
0.8638888888888889,0.07677930533936252,0.8800468975468976,0.06799020465120022,0.4333333333333334,0.22607766610417568,Cinclodes_palliatus,LightGBM,aleatoria
0.9111111111111111,0.06186404847588916,0.9083333333333332,0.0777680589975856,0.6333333333333334,0.12472191289246477,Cinclodes_palliatus,MaxEnt,aleatoria
0.9250000000000002,0.04937885787397546,0.9449206349206349,0.0307731890781048,0.8000000000000002,0.0666666666666667,Cinclodes_palliatus,RandomForest,buffer
0.9222222222222223,0.06186404847588916,0.9451984126984125,0.039049393429809835,0.6666666666666667,0.10540925533894603,Cinclodes_palliatus,SVM,buffer
0.9000000000000001,0.028327886186626586,0.9257936507936508,0.01856532256154089,0.6666666666666666,0.10540925533894603,Cinclodes_palliatus,LightGBM,buffer
0.8861111111111113,0.062360956446232345,0.859920634920635,0.0880330110556564,0.7,0.22110831935702663,Cinclodes_palliatus,MaxEnt,buffer
1.0,0.0,1.0,0.0,1.0,0.0,Cinclodes_palliatus,RandomForest,ambiental
1.0,0.0,1.0,0.0,1.0,0.0,Cinclodes_palliatus,SVM,ambiental
0.9833333333333334,0.033333333333333305,0.9714285714285713,0.05714285714285716,0.9333333333333333,0.08164965809277253,Cinclodes_palliatus,LightGBM,ambiental
1.0,0.0,1.0,0.0,0.5,0.2788866755113586,Cinclodes_palliatus,MaxEnt,ambiental
1.0,0.0,1.0,0.0,0.9,0.09354143466934853,Telmatobius_macrostomus,RandomForest,aleatoria
0.990625,0.01875,0.9909722222222221,0.018055555555555537,0.95,0.09999999999999999,Telmatobius_macrostomus,SVM,aleatoria
0.99375,0.0125,0.9944444444444445,0.011111111111111117,0.9,0.09354143466934853,Telmatobius_macrostomus,LightGBM,aleatoria
0.9625,0.05,0.9377777777777778,0.0812251861444314,0.875,0.07905694150420949,Telmatobius_macrostomus,MaxEnt,aleatoria
0.9171875,0.07288689868556626,0.918519536019536,0.07535850788996834,0.75,0.1767766952966369,Telmatobius_macrostomus,RandomForest,buffer
0.9109375,0.06202947887899753,0.8982611832611832,0.07981450544177547,0.625,0.1767766952966369,Telmatobius_macrostomus,SVM,buffer
0.896875,0.12405895775799505,0.8887373737373737,0.12656702165327907,0.7,0.09999999999999999,Telmatobius_macrostomus,LightGBM,buffer
0.884375,0.05555121510822243,0.8752552308802309,0.0735822261664715,0.7,0.1274754878398196,Telmatobius_macrostomus,MaxEnt,buffer
1.0,0.0,1.0,0.0,1.0,0.0,Telmatobius_macrostomus,RandomForest,ambiental
1.0,0.0,1.0,0.0,1.0,0.0,Telmatobius_macrostomus,SVM,ambiental
1.0,0.0,1.0,0.0,1.0,0.0,Telmatobius_macrostomus,LightGBM,ambiental
1.0,0.0,1.0,0.0,0.5,0.23717082451262844,Telmatobius_macrostomus,MaxEnt,ambiental
