auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,tss_mean,tss_std,especie,modelo,estrategia_pseudo
0.9675,0.04153311931459037,0.9733333333333333,0.03431876713662335,0.82,0.22271057451320087,Xenoglaux_loweryi,RandomForest,aleatoria
0.9650000000000001,0.04898979485566356,0.9675,0.04444097208657797,0.8099999999999999,0.1854723699099141,Xenoglaux_loweryi,SVM,aleatoria
0.9475,0.07348469228349534,0.9466666666666667,0.07257180352359081,0.82,0.22271057451320087,Xenoglaux_loweryi,LightGBM,aleatoria
0.93,0.057879184513951125,0.89,0.09855201672213512,0.64,0.2745906043549196,Xenoglaux_loweryi,MaxEnt,aleatoria
0.8675,0.12031209415515964,0.9069047619047618,0.08810295976455262,0.6100000000000001,0.26907248094147423,Xenoglaux_loweryi,RandomForest,buffer
0.8425,0.16116761461286197,0.891904761904762,0.09916430855253794,0.5599999999999999,0.25179356624028343,Xenoglaux_loweryi,SVM,buffer
0.81375,0.14643684645607472,0.8089999999999999,0.15889496880364437,0.49000000000000005,0.19078784028338916,Xenoglaux_loweryi,LightGBM,buffer
0.7737499999999999,0.10461237976453838,0.7312142857142858,0.13099130157546868,0.51,0.26343879744638987,Xenoglaux_loweryi,MaxEnt,buffer
1.0,0.0,1.0,0.0,1.0,0.0,Xenoglaux_loweryi,RandomForest,ambiental
1.0,0.0,1.0,0.0,1.0,0.0,Xenoglaux_loweryi,SVM,ambiental
1.0,0.0,1.0,0.0,1.0,0.0,Xenoglaux_loweryi,LightGBM,ambiental
1.0,0.0,1.0,0.0,0.63,0.256124969497314,Xenoglaux_loweryi,MaxEnt,ambiental
0.9444444444444443,0.04564354645876385,0.932936507936508,0.07154311803007575,0.8333333333333336,1.1102230246251565e-16,Cinclodes_palliatus,RandomForest,aleatoria
0.9333333333333333,0.057197945227705556,0.9207142857142856,0.0952481476176339,0.8333333333333336,1.1102230246251565e-16,Cinclodes_palliatus,SVM,aleatoria
0.9333333333333333,0.04843221048378526,0.9207142857142856,0.07590073877530071,0.7333333333333335,0.1333333333333334,Cinclodes_palliatus,LightGBM,aleatoria
0.913888888888889,0.07677930533936249,0.878015873015873,0.10174145050726743,0.8333333333333334,0.10540925533894596,Cinclodes_palliatus,MaxEnt,aleatoria
0.7333333333333333,0.16372402253657084,0.7430892255892255,0.14587565360397345,0.4333333333333334,0.24944382578492943,Cinclodes_palliatus,RandomForest,buffer
0.8388888888888889,0.09525793444156803,0.846547619047619,0.11373500471515374,0.5333333333333334,0.19436506316151,Cinclodes_palliatus,SVM,buffer
0.675,0.07637626158259735,0.7093458393458393,0.05998555407564095,0.36666666666666675,0.22110831935702668,Cinclodes_palliatus,LightGBM,buffer
0.6833333333333335,0.12152579363459648,0.7088768638768638,0.11650176517305696,0.4333333333333334,0.3091206165165235,Cinclodes_palliatus,MaxEnt,buffer
1.0,0.0,1.0,0.0,0.9333333333333333,0.08164965809277254,Cinclodes_palliatus,RandomForest,ambiental
1.0,0.0,1.0,0.0,0.9333333333333333,0.08164965809277254,Cinclodes_palliatus,SVM,ambiental
0.9833333333333332,0.03333333333333335,0.9714285714285715,0.05714285714285716,0.9333333333333333,0.08164965809277254,Cinclodes_palliatus,LightGBM,ambiental
0.9777777777777779,0.03239417719358497,0.9666666666666666,0.05553287518900288,0.8,0.32317865716108857,Cinclodes_palliatus,MaxEnt,ambiental
1.0,0.0,1.0,0.0,0.95,0.09999999999999999,Telmatobius_macrostomus,RandomForest,aleatoria
1.0,0.0,1.0,0.0,1.0,0.0,Telmatobius_macrostomus,SVM,aleatoria
0.9703125,0.04851304592581256,0.9550000000000001,0.07810249675906653,0.925,0.09999999999999999,Telmatobius_macrostomus,LightGBM,aleatoria
0.975,0.049999999999999996,0.96,0.07999999999999999,0.85,0.09354143466934853,Telmatobius_macrostomus,MaxEnt,aleatoria
0.903125,0.060434623768167856,0.9063095238095238,0.06307195618421473,0.6,0.18371173070873836,Telmatobius_macrostomus,RandomForest,buffer
0.884375,0.09354143466934854,0.8814258658008658,0.09623127850358257,0.55,0.1274754878398196,Telmatobius_macrostomus,SVM,buffer
0.89375,0.04881406047441659,0.8919119769119769,0.07996383499396152,0.675,0.09999999999999999,Telmatobius_macrostomus,LightGBM,buffer
0.8421875,0.11228277639513552,0.8322790404040404,0.13288680970208797,0.5,0.25,Telmatobius_macrostomus,MaxEnt,buffer
1.0,0.0,1.0,0.0,1.0,0.0,Telmatobius_macrostomus,RandomForest,ambiental
1.0,0.0,1.0,0.0,1.0,0.0,Telmatobius_macrostomus,SVM,ambiental
1.0,0.0,1.0,0.0,1.0,0.0,Telmatobius_macrostomus,LightGBM,ambiental
1.0,0.0,1.0,0.0,0.575,0.15,Telmatobius_macrostomus,MaxEnt,ambiental
