decimalLatitude,decimalLongitude,bio_4,bio_5,bio_7,bio_9,bio_18,elevation,presencia,estrategia_pseudo
-5.41180261512471,-79.89861268574043,163.58281,30.803,15.341,21.493668,183.0,347,0,aleatoria
-0.2050689388597462,-75.1652859260196,68.79118,31.138,11.148001,26.159834,414.0,222,0,aleatoria
-0.0935713250763932,-77.66803035047441,27.180042,21.199,11.164,15.825167,359.0,2162,0,aleatoria
-15.163699830762802,-73.07142870695456,167.45285,11.789,22.701,-0.7801666,383.0,4829,0,aleatoria
-10.39028942024486,-76.87924200219513,99.245316,9.026,16.42,0.54083323,418.0,4798,0,aleatoria
-10.631443442903748,-70.46233988013836,81.70417,31.358,14.912001,23.451,636.0,322,0,aleatoria
-8.609465426191644,-68.70947727402675,77.30827,31.265,14.927,23.4185,719.0,210,0,aleatoria
-15.310936784627309,-70.63470741919468,169.84077,14.256,23.804,1.581,537.0,4527,0,aleatoria
-6.991440842057388,-75.5632064465205,37.16531,32.276,12.856001,25.536499,525.0,472,0,aleatoria
-4.530109142340608,-70.04092711639856,42.530773,31.303,10.441,26.026667,584.0,123,0,aleatoria
-17.362882208781073,-70.39193809258214,127.52473,20.252,16.789001,11.082167,66.0,2847,0,aleatoria
-9.225340320793023,-71.44725179752558,63.843403,31.017,13.541,23.8945,620.0,284,0,aleatoria
-4.770409464857201,-74.31289920873772,40.819466,32.488,11.872999,26.130667,677.0,115,0,aleatoria
-3.898577866979725,-70.01160300256664,40.105984,31.355999,9.713999,26.477333,673.0,127,0,aleatoria
-11.913013001745934,-68.22485275231833,99.048805,32.1,14.740999,24.069166,557.0,240,0,aleatoria
-9.797387131330092,-74.87913635326318,36.47732,32.354,12.827,25.5945,591.0,295,0,aleatoria
-4.465214793192919,-73.32414683984123,42.093346,31.987999,11.625999,25.910833,679.0,108,0,aleatoria
-6.100237219525642,-76.663585700096,37.48273,28.353,12.7560005,21.674,391.0,1223,0,aleatoria
-4.227653324346436,-69.27927589242834,38.44898,31.397999,10.241999,26.273167,569.0,110,0,aleatoria
-1.5998522783593678,-74.0288839418085,61.477695,31.276,11.133999,26.392166,579.0,178,0,aleatoria
-11.42866356591464,-72.93070740439623,61.04809,31.307,12.844,24.362,566.0,359,0,aleatoria
-3.619675556994448,-79.7626866648777,40.191456,29.073,12.091999,22.650333,577.0,756,0,aleatoria
-0.4606928942598713,-79.62035815357189,66.22506,30.117,10.419001,23.968166,984.0,157,0,aleatoria
-3.5085593026633437,-74.04725160969505,45.3851,31.8,11.610998,25.66,760.0,137,0,aleatoria
-12.300178621779434,-70.13640869482256,100.0088,31.27,14.143999,23.324667,949.0,322,0,aleatoria
-10.925651331516807,-76.34383163626758,91.95866,11.815,17.602,3.007,427.0,4403,0,buffer
-11.225139534604498,-75.99208845261452,92.13845,13.543,17.877,4.6051664,406.0,4247,0,buffer
-11.14745183994922,-76.12982208497895,98.84774,13.079,17.399,4.123,441.0,4259,0,buffer
-11.168613403823446,-76.38989217182844,104.4567,11.093,17.778,2.1501667,458.0,4492,0,buffer
-11.247825970775407,-76.49327529025334,102.082535,9.878,17.151001,1.1951666,451.0,4677,0,buffer
-11.450689291157516,-75.62002946445327,64.17339,16.134,17.210001,7.6616664,266.0,3973,0,buffer
-11.350237868930446,-75.97089272610059,91.07168,13.234,17.584,4.416333,416.0,4305,0,buffer
-11.521532989016396,-75.9892917540631,97.52449,14.238,18.007,5.1346664,358.0,4124,0,buffer
