decimalLatitude,decimalLongitude,bio_2,bio_3,bio_4,bio_5,bio_15,bio_18,presencia,estrategia_pseudo
-11.601333,-76.200035,13.379,78.54752,106.565674,10.105,75.824615,473.0,1,presencia_real
-10.615089,-76.17954,14.2213335,79.922066,72.361664,14.029,58.806732,450.0,1,presencia_real
-10.551277,-76.827478,13.396833,80.38422,92.185486,10.121,72.28243,407.0,1,presencia_real
-12.169845,-75.63094,13.6225,78.94356,67.64738,12.769,77.33495,423.0,1,presencia_real
-11.577478,-76.35644,13.1519165,77.88651,113.24658,9.457,78.05566,475.0,1,presencia_real
-12.187926,-75.800095,13.211667,78.11083,88.11,13.339,85.67598,426.0,1,presencia_real
-11.737766,-76.25577,13.175667,76.42055,123.39739,11.197,82.89669,419.0,1,presencia_real
-11.164677,-76.018005,13.1796665,77.03803,103.83299,13.783,62.821674,403.0,1,presencia_real
-12.372423,-75.75166,13.069417,77.5173,95.69094,13.497,90.81919,408.0,1,presencia_real
-11.755806,-76.045,13.237667,80.18941,90.116196,10.15,75.934715,462.0,1,presencia_real
-11.467018,-76.06379,13.919833,78.01723,100.91332,12.875,65.90814,409.0,1,presencia_real
-11.682864,-74.80047,13.451,79.23539,68.608215,20.95,58.10795,307.0,1,presencia_real
-9.124234,-75.177992,11.108084,89.87123,20.275389,32.593,40.85961,981.0,1,presencia_real
-10.585703,-76.693306,13.45525,80.25798,90.06472,10.178,69.998405,415.0,1,presencia_real
-11.079071,-76.15207,11.696834,75.40993,105.271034,13.228,65.04139,431.0,1,presencia_real
-11.42163,-76.34846,13.40175,78.43703,109.49732,9.672,75.1491,490.0,1,presencia_real
-11.021532,-76.465866,13.7465,79.45495,94.574936,10.422,65.485214,436.0,1,presencia_real
-12.526282,-75.50572,13.66775,77.43329,86.097725,11.469,80.91242,405.0,1,presencia_real
-9.530101,-77.52544,14.171333,83.81437,47.578144,18.601,85.11905,316.0,1,presencia_real
-11.771452,-75.71393,13.718833,77.50315,83.31884,16.085001,76.5325,234.0,1,presencia_real
-11.804026,-76.69918,12.674583,73.4801,142.34387,17.351,134.36612,271.0,1,presencia_real
-10.299348,-77.00489,13.613833,80.133224,93.35977,11.103,79.237976,379.0,1,presencia_real
-10.126064,-77.28522,14.297833,79.551735,106.20876,12.822,90.854126,328.0,1,presencia_real
-11.904979,-76.2343,13.526334,78.92597,108.03527,10.064,83.62051,447.0,1,presencia_real
-9.074484,-77.644844,12.533167,77.95712,113.67995,9.648,70.188644,416.0,1,presencia_real
-11.433717,-74.7702,11.98,79.56961,65.06536,23.3,46.253677,399.0,1,presencia_real
-11.516915,-74.93538,13.09075,79.52585,38.35036,15.844,57.92975,276.0,1,presencia_real
-8.948708,-77.562485,12.669167,80.7159,92.1956,12.688,63.832497,367.0,1,presencia_real
-11.097778,-76.323889,14.004833,79.19495,97.03451,11.688,65.08501,455.0,1,presencia_real
-11.7870881817,-76.3990864111,13.0095,74.31876,131.49428,14.263,100.055305,347.0,1,presencia_real
-1.8066270665127249,-74.71917435046191,9.541250228881836,84.63056182861328,61.15858459472656,31.402999877929688,18.18361473083496,590.0,0,aleatoria
-11.48138662944563,-69.86826921519433,11.121166229248047,69.88290405273438,107.34713745117188,31.61600112915039,54.66736602783203,635.0,0,aleatoria
-6.461552492163889,-70.66931264690884,9.940834045410156,81.75027465820312,44.230003356933594,31.128999710083008,39.145057678222656,758.0,0,aleatoria
-3.833885140927787,-68.0493948618129,9.068750381469727,84.07890319824219,35.68092346191406,31.38599967956543,25.330305099487305,583.0,0,aleatoria
-6.538482119266384,-79.21211536322899,11.824417114257812,81.2116470336914,112.587890625,27.065000534057617,116.89927673339844,281.0,0,aleatoria
-11.58986281775294,-70.3460909912204,10.772916793823242,72.73101043701172,96.14844512939453,31.256000518798828,51.996002197265625,751.0,0,aleatoria
-7.589370842507755,-74.19132113666448,10.404250144958496,82.15611267089844,45.55738067626953,32.00299835205078,36.81718826293945,580.0,0,aleatoria
-13.908344405375733,-76.3432994421613,7.399609565734863,51.91569900512695,266.1560974121094,27.1171875,0.0,0.0,0,aleatoria
-0.2462738121115677,-80.15244398254225,8.495333671569824,79.04841613769531,69.09781646728516,29.479999542236328,103.78626251220703,446.0,0,aleatoria
-12.210729255595904,-69.95945391332236,10.474499702453613,72.47283935546875,103.02462768554688,31.361000061035156,51.423675537109375,867.0,0,aleatoria
-11.346719428794804,-72.89496904725452,10.655417442321777,82.84416961669922,61.127567291259766,31.368000030517578,50.806983947753906,576.0,0,aleatoria
-16.752772223910114,-70.73884597580413,14.23324966430664,78.86768341064453,110.5650634765625,19.070999145507812,134.0104217529297,130.0,0,aleatoria
-10.599002338124516,-77.89549769142157,8.485294342041016,56.98577880859375,239.23876953125,27.74313735961914,29.193710327148438,6.0,0,aleatoria
-1.5088492227993875,-68.66652904273896,8.956083297729492,85.9921646118164,41.48590850830078,30.99799919128418,13.888178825378418,785.0,0,aleatoria
-1.771413447369035,-72.82241477562978,9.06308364868164,84.97970581054688,54.68451690673828,31.314998626708984,14.513888359069824,619.0,0,aleatoria
-5.000493399969937,-72.89191908783792,9.592499732971191,82.48774719238281,43.82953643798828,31.597000122070312,31.722509384155273,736.0,0,aleatoria
-2.8737144638893923,-70.64914372810217,8.132916450500488,82.442138671875,40.47904586791992,31.354000091552734,20.662240982055664,669.0,0,aleatoria
