decimalLatitude,decimalLongitude,bio_2,bio_3,bio_4,bio_15,bio_16,bio_17,bio_18,elevation,presencia,estrategia_pseudo
-8.62612619262978,-77.47136063231183,13.42875,84.60121,27.26225,65.55597,277.0,29.0,212.0,3265,0,buffer
-9.968256984182892,-74.57242343415152,11.506833,83.68606,45.72772,46.10298,729.0,203.0,527.0,700,0,buffer
-11.434995315231903,-74.23021065144496,11.044666,82.65111,62.109207,48.436726,639.0,178.0,477.0,800,0,buffer
-9.06669376961997,-78.59492181213248,7.8050003,58.79674,199.54927,53.257523,6.0,0.0,5.0,105,0,buffer
-8.447727793987257,-75.63356633771185,11.476417,90.23759,16.927483,37.033318,1240.0,471.0,1008.0,281,0,buffer
-12.74383969982322,-76.58641267707294,7.6441884,52.94917,264.7182,92.2611,39.0,2.0,4.0,77,0,buffer
-8.415965254248771,-77.73292349733954,13.346916,82.29693,73.51654,60.38937,398.0,56.0,344.0,4114,0,buffer
-9.912555330732992,-75.41242313034176,11.120584,87.577446,35.39768,42.40868,934.0,304.0,700.0,385,0,buffer
-8.309543919065083,-77.79021446085706,13.558833,83.23409,72.15422,60.435898,412.0,57.0,355.0,4157,0,buffer
-11.885652110207133,-73.54748661420336,12.688084,82.3848,63.46632,50.798782,658.0,161.0,377.0,2201,0,buffer
-8.220114498917841,-76.00929604424708,12.025583,86.77093,38.280685,34.279255,615.0,249.0,475.0,1625,0,buffer
-12.231569444458362,-76.67653150478952,9.794583,65.1149,204.82831,138.30138,43.0,0.0,43.0,1110,0,buffer
-10.623114117199012,-77.21926562542492,12.761833,80.09184,92.73643,114.37584,343.0,4.0,343.0,3285,0,buffer
-7.96971879835152,-77.75024293667056,13.583583,84.2654,55.097076,60.3132,466.0,68.0,388.0,3878,0,buffer
-12.770299182225092,-76.54820210677819,8.408043,55.05914,267.2619,97.47841,42.0,2.0,4.0,88,0,buffer
-10.762548481421623,-77.31933090009925,11.749583,78.89863,108.983376,147.88693,205.0,0.0,205.0,2213,0,buffer
-8.333872031868996,-74.78061443742122,11.27425,85.71617,37.806034,36.20889,630.0,239.0,564.0,166,0,buffer
-8.503736786159127,-74.43057046272526,10.760167,83.463905,47.292625,39.962,587.0,195.0,516.0,153,0,buffer
-8.224975380470479,-77.92128191453007,13.8125,87.426414,24.381222,80.83924,243.0,12.0,132.0,2787,0,buffer
-12.730509230003122,-73.96027782426648,12.379416,82.938614,57.127415,56.73727,435.0,93.0,265.0,2613,0,buffer
-8.402161382737722,-75.77355078950293,11.88,88.110954,29.806242,32.49495,927.0,405.0,697.0,1002,0,buffer
-14.541817185397983,-75.48965993695865,10.973166,61.159107,259.0213,36.181362,3.0,0.0,3.0,372,0,ambiental
-13.998414403011797,-76.01459987137179,10.04025,59.112453,267.0665,26.646936,1.0,0.0,1.0,286,0,ambiental
-13.250779112108066,-76.17661276306549,9.496885,57.87575,271.04025,101.679504,36.0,2.0,4.0,158,0,ambiental
-9.599408392706508,-78.3381293817986,7.7354937,58.12924,203.13081,61.71304,9.0,0.0,9.0,100,0,ambiental
-16.495830616570416,-73.19106786573275,6.9333334,54.166664,210.73285,42.224712,4.0,0.0,3.0,16,0,ambiental
-6.478331199664924,-80.9022150794502,7.8995614,52.97976,274.56592,151.75739,13.0,0.0,13.0,18,0,ambiental
-6.543470038000546,-80.24827826673422,9.733594,58.481976,260.31308,176.194,20.0,0.0,20.0,-1,0,ambiental
-6.476040372654181,-80.4430917750249,9.790999,58.404915,266.78244,185.76424,22.0,0.0,22.0,1,0,ambiental
-11.188644810667045,-77.48524785708467,9.118167,54.414078,290.4379,69.08493,47.0,8.0,13.0,348,0,ambiental
-12.165446013013884,-77.08343612987643,6.041667,47.949734,249.31232,42.640144,6.0,0.0,1.0,43,0,ambiental
-11.011466764251775,-77.61401825870662,6.88105,50.4334,261.81216,41.28614,16.0,4.0,7.0,58,0,ambiental
-12.678257631988274,-76.5463387061435,8.8429165,57.317318,262.16177,77.796,25.0,2.0,8.0,446,0,ambiental
-12.079394451563696,-77.03817055973339,7.210167,52.04018,253.9563,42.224712,12.0,3.0,5.0,147,0,ambiental
-17.95623408660293,-70.83951840800947,7.90935,55.776287,234.76227,53.181602,5.0,0.0,0.0,525,0,ambiental
-11.250354909206004,-77.36726492824535,8.918667,55.58187,276.74228,50.497524,30.0,6.0,19.0,560,0,ambiental
-14.68929502867262,-75.71250303297148,9.689083,59.282204,250.884,36.181362,3.0,0.0,3.0,694,0,ambiental
-12.166805735115698,-77.03971751531022,6.4031253,48.925507,255.33253,44.94666,11.0,2.0,4.0,45,0,ambiental
-11.889908208557632,-77.23957879409978,6.5166664,49.61929,258.48563,47.531876,7.0,1.0,3.0,75,0,ambiental
-14.397230149505956,-75.74405550111238,10.646,60.994614,259.2096,36.181362,3.0,0.0,3.0,429,0,ambiental
-15.315322465866627,-75.20624925978193,7.3805556,51.26177,262.5844,0.0,0.0,0.0,0.0,97,0,ambiental
-13.995758401848214,-75.94912228691683,10.237833,60.060036,261.73032,26.646936,1.0,0.0,1.0,383,0,ambiental
-6.477121096317932,-80.34966592924964,9.853812,58.53133,264.67712,185.2593,24.0,0.0,24.0,0,0,ambiental
-13.615381604637754,-76.0395993922441,8.840167,58.582947,245.65114,50.081776,4.0,0.0,2.0,248,0,ambiental
-14.649066174220511,-75.47326748220877,10.810917,61.40124,252.69565,36.181362,3.0,0.0,3.0,522,0,ambiental
-14.918520272005733,-75.34591804456905,9.97875,59.439777,255.796,26.646936,1.0,0.0,1.0,465,0,ambiental
-17.726582877234435,-71.30040439755601,6.990714,53.023083,232.65831,53.181602,5.0,0.0,0.0,214,0,ambiental
-12.258270465015409,-76.88794498979996,8.011274,55.10858,255.93124,53.207886,19.0,3.0,5.0,28,0,ambiental
-10.786911039038769,-77.64716612906075,9.021501,57.81901,249.69432,42.750927,20.0,7.0,16.0,274,0,ambiental
-10.53179169174006,-77.90651959109641,8.893458,58.62572,236.49619,37.605072,9.0,3.0,9.0,176,0,ambiental
