decimalLatitude,decimalLongitude,bio_2,bio_5,bio_13,bio_15,presencia,estrategia_pseudo
-17.894764572596998,-70.71692554650673,9.36225,27.834,2.0,53.181602,0,ambiental
-17.97439386204095,-70.66378581007119,8.80525,27.77,2.0,56.863365,0,ambiental
-11.144070567834357,-77.53147611946366,8.073916,26.764,12.0,53.764008,0,ambiental
-6.101399378742636,-80.56522599760015,11.073167,32.043,24.0,181.62009,0,ambiental
-10.931576584347972,-77.53049532260884,9.591917,27.374,10.0,44.2801,0,ambiental
-14.370809375888122,-76.11072372861095,7.2613335,26.496,0.0,0.0,0,ambiental
-14.347003352612653,-75.78876305181313,11.338333,29.023,1.0,33.36424,0,ambiental
-11.769914075780884,-77.23972960725526,6.7458334,26.35,3.0,47.531876,0,ambiental
-6.287717016881933,-80.57028307946823,9.687833,31.179,19.0,185.76424,0,ambiental
-12.996612670637624,-76.41163273186746,8.752917,28.308,20.0,102.835495,0,ambiental
-5.491328732946801,-80.74128157611197,10.604083,31.741,16.0,116.47313,0,ambiental
-13.125403895995875,-76.43053598866727,6.1983337,26.58,18.0,107.89192,0,ambiental
-13.790950542240818,-76.44567354171672,5.8083334,25.85,0.0,0.0,0,ambiental
-5.578961259754781,-80.58009429810897,12.755083,32.957,28.0,155.89813,0,ambiental
